Description,Item#,Seg,Seq#,Len,DT,Rep,Table,Chapter
Citizenship ,00129,STF,30,250,CE,Y,0171,15.4.8.30
Death Date and Time ,01886,STF,31,8,TS,,,15.4.8.31
Death Indicator ,01887,STF,32,1,ID,,0136,15.4.8.32
Institution Relationship Type Code ,01888,STF,33,250,CWE,,0538,15.4.8.33
Institution Relationship Period ,01889,STF,34,52,DR,,,15.4.8.34
Expected Return Date ,01890,STF,35,8,DT,,,15.4.8.35
Cost Center Code ,01891,STF,36,250,CWE,Y,0539,15.4.8.36
Generic Classification Indicator ,01892,STF,37,1,ID,,0136,15.4.8.37
Inactive Reason Code ,01893,STF,38,250,CWE,,0540,15.4.8.38
Universal Service Identifier ,00238,TCC,1,250,CE,,,13.4.9.1
Test Application Identifier ,01408,TCC,2,80,EI,,,13.4.9.2
Specimen Source ,00249,TCC,3,300,SPS,,,13.4.9.3
Auto-Dilution Factor Default ,01410,TCC,4,20,SN,,,13.4.9.4
Rerun Dilution Factor Default ,01411,TCC,5,20,SN,,,13.4.9.5
Pre-Dilution Factor Default ,01412,TCC,6,20,SN,,,13.4.9.6
Endogenous Content of Pre-Dilution Diluent ,01413,TCC,7,20,SN,,,13.4.9.7
Inventory Limits Warning Level ,01414,TCC,8,10,NM,,,13.4.9.8
Automatic Rerun Allowed ,01415,TCC,9,1,ID,,0136,13.4.9.9
Automatic Repeat Allowed ,01416,TCC,10,1,ID,,0136,13.4.9.10
Automatic Reflex Allowed ,01417,TCC,11,1,ID,,0136,13.4.9.11
Equipment Dynamic Range ,01418,TCC,12,20,SN,,,13.4.9.12
Units ,00574,TCC,13,250,CE,,,13.4.9.13
Processing Type ,01419,TCC,14,250,CE,,0388,13.4.9.14
Universal Service Identifier ,00238,TCD,1,250,CE,,,13.4.10.1
Auto-Dilution Factor ,01420,TCD,2,20,SN,,,13.4.10.2
Rerun Dilution Factor ,01421,TCD,3,20,SN,,,13.4.10.3
Pre-Dilution Factor ,01422,TCD,4,20,SN,,,13.4.10.4
Endogenous Content of Pre-Dilution Diluent ,01413,TCD,5,20,SN,,,13.4.10.5
Automatic Repeat Allowed ,01416,TCD,6,1,ID,,0136,13.4.10.6
Reflex Allowed ,01424,TCD,7,1,ID,,0136,13.4.10.7
Analyte Repeat Status ,01425,TCD,8,250,CE,,0389,13.4.10.8
Set ID - TQ1 ,01627,TQ1,1,4,SI,,,4.5.4.1
Quantity ,01628,TQ1,2,20,CQ,,,4.5.4.2
Repeat Pattern ,01629,TQ1,3,540,RPT,Y,0335,4.5.4.3
Explicit Time ,01630,TQ1,4,20,TM,Y,,4.5.4.4
Relative Time and Units ,01631,TQ1,5,20,CQ,Y,,4.5.4.5
Service Duration ,01632,TQ1,6,20,CQ,,,4.5.4.6
Start date/time ,01633,TQ1,7,26,TS,,,4.5.4.7
End date/time ,01634,TQ1,8,26,TS,,,4.5.4.8
Priority ,01635,TQ1,9,250,CWE,Y,0485,4.5.4.9
Condition text ,01636,TQ1,10,250,TX,,,4.5.4.10
Text instruction ,01637,TQ1,11,250,TX,,,4.5.4.11
Conjunction ,01638,TQ1,12,10,ID,,0427,4.5.4.12
Occurrence duration ,01639,TQ1,13,20,CQ,,,4.5.4.13
Total occurrence's ,01640,TQ1,14,10,NM,,,4.5.4.14
Set ID - TQ2 ,01648,TQ2,1,4,SI,,,4.5.5.1
Sequence/Results Flag ,01649,TQ2,2,1,ID,,0503,4.5.5.2
Related Placer Number ,01650,TQ2,3,22,EI,Y,,4.5.5.3
Related Filler Number ,01651,TQ2,4,22,EI,Y,,4.5.5.4
Related Placer Group Number ,01652,TQ2,5,22,EI,Y,,4.5.5.5
Sequence Condition Code ,01653,TQ2,6,2,ID,,0504,4.5.5.6
Cyclic Entry/Exit Indicator ,01654,TQ2,7,1,ID,,0505,4.5.5.7
Sequence Condition Time Interval ,01655,TQ2,8,20,CQ,,,4.5.5.8
Cyclic Group Maximum Number of Repeats ,01656,TQ2,9,10,NM,,,4.5.5.9
Special Service Request Relationship ,01657,TQ2,10,1,ID,,0506,4.5.5.10
Set ID - TXA ,00914,TXA,1,4,SI,,,9.6.1.1
Document Type ,00915,TXA,2,30,IS,,0270,9.6.1.2
Document Content Presentation ,00916,TXA,3,2,ID,,0191,9.6.1.3
Activity Date/Time ,00917,TXA,4,26,TS,,,9.6.1.4
Primary Activity Provider Code/Name ,00918,TXA,5,250,XCN,Y,,9.6.1.5
Origination Date/Time ,00919,TXA,6,26,TS,,,9.6.1.6
Transcription Date/Time ,00920,TXA,7,26,TS,,,9.6.1.7
Edit Date/Time ,00921,TXA,8,26,TS,Y,,9.6.1.8
Originator Code/Name ,00922,TXA,9,250,XCN,Y,,9.6.1.9
Assigned Document Authenticator ,00923,TXA,10,250,XCN,Y,,9.6.1.10
Transcriptionist Code/Name ,00924,TXA,11,250,XCN,Y,,9.6.1.11
Unique Document Number ,00925,TXA,12,30,EI,,,9.6.1.12
Parent Document Number ,00926,TXA,13,30,EI,,,9.6.1.13
Placer Order Number ,00216,TXA,14,22,EI,Y,,9.6.1.14
Filler Order Number ,00217,TXA,15,22,EI,,,9.6.1.15
Unique Document File Name ,00927,TXA,16,30,ST,,,9.6.1.16
Document Completion Status ,00928,TXA,17,2,ID,,0271,9.6.1.17
Document Confidentiality Status ,00929,TXA,18,2,ID,,0272,9.6.1.18
Document Availability Status ,00930,TXA,19,2,ID,,0273,9.6.1.19
Document Storage Status ,00932,TXA,20,2,ID,,0275,9.6.1.20
Document Change Reason ,00933,TXA,21,30,ST,,,9.6.1.21
"Authentication Person, Time Stamp ",00934,TXA,22,250,PPN,Y,,9.6.1.22
Distributed Copies (Code and Name of Recipients),00935,TXA,23,250,XCN,Y,,9.6.1.23
Set ID - UB1 ,00530,UB1,1,4,SI,,,6.5.10.1
Blood Deductible (43) ,00531,UB1,2,1,NM,,,6.5.10.2
Blood Furnished-Pints Of (40) ,00532,UB1,3,2,NM,,,6.5.10.3
Blood Replaced-Pints (41) ,00533,UB1,4,2,NM,,,6.5.10.4
Blood Not Replaced-Pints(42) ,00534,UB1,5,2,NM,,,6.5.10.5
Co-Insurance Days (25) ,00535,UB1,6,2,NM,,,6.5.10.6
Condition Code (35-39) ,00536,UB1,7,14,IS,Y,0043,6.5.10.7
Covered Days - (23) ,00537,UB1,8,3,NM,,,6.5.10.8
Non Covered Days - (24) ,00538,UB1,9,3,NM,,,6.5.10.9
Value Amount & Code (46-49) ,00539,UB1,10,41,UVC,Y,,6.5.10.10
Number Of Grace Days (90) ,00540,UB1,11,2,NM,,,6.5.10.11
Special Program Indicator (44) ,00541,UB1,12,250,CE,,0348,6.5.10.12
PSRO/UR Approval Indicator (87) ,00542,UB1,13,250,CE,,0349,6.5.10.13
PSRO/UR Approved Stay-Fm (88) ,00543,UB1,14,8,DT,,,6.5.10.14
PSRO/UR Approved Stay-To (89) ,00544,UB1,15,8,DT,,,6.5.10.15
Occurrence (28-32) ,00545,UB1,16,259,OCD,Y,,6.5.10.16
Occurrence Span (33) ,00546,UB1,17,250,CE,,0351,6.5.10.17
Occur Span Start Date(33) ,00547,UB1,18,8,DT,,,6.5.10.18
Occur Span End Date (33) ,00548,UB1,19,8,DT,,,6.5.10.19
UB-82 Locator 2 ,00549,UB1,20,30,ST,,,6.5.10.20
UB-82 Locator 9 ,00550,UB1,21,7,ST,,,6.5.10.21
UB-82 Locator 27 ,00551,UB1,22,8,ST,,,6.5.10.22
UB-82 Locator 45 ,00552,UB1,23,17,ST,,,6.5.10.23
Set ID - UB2 ,00553,UB2,1,4,SI,,,6.5.11.1
Co-Insurance Days (9) ,00554,UB2,2,3,ST,,,6.5.11.2
Condition Code (24-30) ,00555,UB2,3,2,IS,Y,0043,6.5.11.3
Covered Days (7) ,00556,UB2,4,3,ST,,,6.5.11.4
Non-Covered Days (8) ,00557,UB2,5,4,ST,,,6.5.11.5
Value Amount & Code ,00558,UB2,6,41,UVC,Y,,6.5.11.6
Occurrence Code & Date (32-35) ,00559,UB2,7,259,OCD,Y,,6.5.11.7
Occurrence Span Code/Dates (36) ,00560,UB2,8,268,OSP,Y,,6.5.11.8
UB92 Locator 2 (State) ,00561,UB2,9,29,ST,Y,,6.5.11.9
UB92 Locator 11 (State) ,00562,UB2,10,12,ST,Y,,6.5.11.10
UB92 Locator 31 (National) ,00563,UB2,11,5,ST,,,6.5.11.11
Document Control Number ,00564,UB2,12,23,ST,Y,,6.5.11.12
UB92 Locator 49 (National) ,00565,UB2,13,4,ST,Y,,6.5.11.13
UB92 Locator 56 (State) ,00566,UB2,14,14,ST,Y,,6.5.11.14
UB92 Locator 57 (National) ,00567,UB2,15,27,ST,,,6.5.11.15
UB92 Locator 78 (State) ,00568,UB2,16,2,ST,Y,,6.5.11.16
Special Visit Count ,00815,UB2,17,3,NM,,,6.5.11.17
R/U Date/Time ,00045,URD,1,26,TS,,,5.10.5.6.1
Report Priority ,00046,URD,2,1,ID,,0109,5.10.5.6.2
R/U Who Subject Definition ,00047,URD,3,250,XCN,Y,,5.10.5.6.3
R/U What Subject Definition ,00048,URD,4,250,CE,Y,0048,5.10.5.6.4
R/U What Department Code ,00049,URD,5,250,CE,Y,,5.10.5.6.5
R/U Display/Print Locations ,00050,URD,6,20,ST,Y,,5.10.5.6.6
R/U Results Level ,00051,URD,7,1,ID,,0108,5.10.5.6.7
R/U Where Subject Definition ,00052,URS,1,20,ST,Y,,5.10.5.7.1
R/U When Data Start Date/Time ,00053,URS,2,26,TS,,,5.10.5.7.2
R/U When Data End Date/Time ,00054,URS,3,26,TS,,,5.10.5.7.3
R/U What User Qualifier ,00055,URS,4,20,ST,Y,,5.10.5.7.4
R/U Other Results Subject Definition ,00056,URS,5,20,ST,Y,,5.10.5.7.5
R/U Which Date/Time Qualifier ,00057,URS,6,12,ID,Y,0156,5.10.5.7.6
R/U Which Date/Time Status Qualifier ,00058,URS,7,12,ID,Y,0157,5.10.5.7.7
R/U Date/Time Selection Qualifier ,00059,URS,8,12,ID,Y,0158,5.10.5.7.8
R/U Quantity/Timing Qualifier ,00695,URS,9,60,TQ,,,5.10.5.7.9
Variance Instance ID ,01212,VAR,1,60,EI,,,12.4.5.1
Documented Date/Time ,01213,VAR,2,26,TS,,,12.4.5.2
Stated Variance Date/Time ,01214,VAR,3,26,TS,,,12.4.5.3
Variance Originator ,01215,VAR,4,250,XCN,Y,,12.4.5.4
Variance Classification ,01216,VAR,5,250,CE,,,12.4.5.5
Variance Description ,01217,VAR,6,512,ST,Y,,12.4.5.6
Query Tag ,00696,VTQ,1,32,ST,,,5.10.5.8.1
Query/Response Format Code ,00697,VTQ,2,1,ID,,0106,5.10.5.8.2
VT Query Name ,00698,VTQ,3,250,CE,,,5.10.5.8.3
Virtual Table Name ,00699,VTQ,4,250,CE,,,5.10.5.8.4
Selection Criteria ,00700,VTQ,5,256,QSC,Y,,5.10.5.8.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
